video_title,comment,likes
How China Is Using Artificial Intelligence in Classrooms | WSJ,I just want to know how are the children today in 2026! 😢 We now hear about the protection in AI development. But someone already used it for more control. I can't imagine the lies of techlogy continuously affecting human beings and belongings!,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,So pitiful,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,You cant have any pudding if you dont you eat your meat.,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,1984,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,"Kids will stress out, they need a break. Its using AI to extract more output. Very dangerous,  kids are humans and humans have limitations.  AI should assist humans not force them.....",1
How China Is Using Artificial Intelligence in Classrooms | WSJ,Control and surveillance,1
How China Is Using Artificial Intelligence in Classrooms | WSJ,so what happened in the end?,2
How China Is Using Artificial Intelligence in Classrooms | WSJ,This is next technology,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,😮,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,I hope they don't put these on teachers during our staff meetings!,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,It can discipline them otherwise I feel symphaty for them,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,"it's all seen at the movie, but it become a true life now in China which had the largest population in the world.",0
How China Is Using Artificial Intelligence in Classrooms | WSJ,Imagine being neurodivergent 😰,0
