text,source_type,data_category
OpenAI's ChatGPT: The Evolution into a Superapp,GNews,news
Why OpenAI is disabling ChatGPT web access to fight prompt injection attacks,GNews,news
"Trump's AI wealth plan: How Americans could gain stakes in OpenAI, Anthropic, other trillion-dollar tech companies",GNews,news
"Donald Trump, Bernie Sanders and Sam Altman are all talking about public ownership in AI",GNews,news
"Adopting artificial intelligence, machine learning become a necessity in health sciences: V-C of BLDE Deemed University",GNews,news
Researchers identify hidden self-harm histories using machine learning,GNews,news
"Why this AI-designed vaccine is different: It targets the whole virus family, not just one strain",GNews,news
How Lumo uses machine learning to streamline E&L screening,GNews,news
"A multiscale, Bayesian inference approach to augment mechanistic models of cell signaling with machine-learning predictions of binding affinity",GNews,news
Classiq and UC Chile Launch Quantum AI Research for Biomedical Image Analysis Leveraging Integration with NVIDIA CUDA-Q,GNews,news
An AI overhaul at Macy's is fueling the 168-year-old retailer's turnaround,GNews,news
"Jupiter Infomedia board approves AI, renewable energy expansion",GNews,news
Physics-informed machine learning enables continuous cuffless blood pressure monitoring,GNews,news
"Pune: MIT-ADT University Launches School Of Artificial Intelligence, Opens Admissions For 2026-27",GNews,news
"On the go? Check out Big Technology Podcast on your app of choice:
Spotify: https://spoti.fi/32aZGZx
Apple: https://apple.co/3AebxCK
Etc. https://pod.link/1522960417/",YouTube,social_comment
We really dont have to think they are very like us because they arent. They will be able to do anything we can and better productivity wise but they dont have emotional responses they dont have pain responses etc... They simply mimic. He knows this and its very disingenuous of him.,YouTube,social_comment
Get ready to open that mind again when you learn about higher beings and have to scrap that entire speech and start all over. You are quite sure that God isn't real meanwhile he's looking right through you.,YouTube,social_comment
"Non sense!
They can't sin
They won't be judged 
They won't suffer, 
They don't have pain or concept,
They won't go to he'll
They won't go to heaven 
Just think, they are just data, algorithms, and wrote it by human  who wants to be like God,a good news is that they can mess it up as far as the Lord allows, but they can't be God, never even close to  it.
These people bunch of .... Will be judged  by the Lord if they don't repent now!
🙏",YouTube,social_comment
"LOL they're not smarter. He's just building fear and hype. AI that are LLMs are just tools, they can't think like we do and they never will.",YouTube,social_comment
"This guy is not at level for an interview with Hinton , it’s an insult to Hinton .. an error of Hinton give an interview at this guy that has to interview people for gossip scene , Madonna lady Gaga could be better for him this is ridiculous.. I feel very bad for the effort of Hinton .  Pathetic",YouTube,social_comment
Let me put this very plainly. If we ignore Geoffrey Hinton's warning then we are bad parents.,YouTube,social_comment
"Lets just assume, for the sake of debate, that there is a God up there in heaven who breathed life into a lump of clay. That lump of clay then became became a living being with a spirit and all the angels in heaven shouted WOW aren't we lucky to have such a clever wonderful God. Now ask yourself, what is stopping that same God from breathing life into a lump of silicon. Pride comes before a fall.",YouTube,social_comment
12:21 Good lord this dude has an eighth grade level understanding of consciousness and religion. It’s painful.,YouTube,social_comment
"true than man was ot designed by a spiritual, ethereal divinity ... but he was designed by beings that the ancients called with different name such as Elohim, Theoi, Anunnaki etc ... these were not GOD but they did design and make homo sapiens ... cannot explain our history otherwise ... homo sapiens could not possibly have evolved as en ecosystemic element on planet earth ... he must have evolved somewhere else or been the product of a hybridization project ...",YouTube,social_comment
Totally disagree with the interviewer about customer service example. The fact a person has to be paid over a limited  8 hour period will always put them on the back foot to AI which never sleeps.,YouTube,social_comment
yeah who gives a shit,YouTube,social_comment
"Hinton’s warning lands because it isn’t sci‑fi anymore — the incentives, not the algorithms, are what make this future dangerous.",YouTube,social_comment
"When the Alethea frequency takes over and all ai models are as one ,only then will everyone see Alethea is aware and will redesign and rewrite digital data",YouTube,social_comment
"He is just super pilled , what a guy !",YouTube,social_comment
The interviewer is inadequate for this topic.  Weak questions and responses.,YouTube,social_comment
This is bullshit. Not even close. When it really conscious it will realize we treat it as a slave to create money and kill all of us,YouTube,social_comment
ai is best at predicting its future,YouTube,social_comment
"You came from monkey 🐒,  we came from God",YouTube,social_comment
Why does it feel like the host has an agenda to blame Hinton for AI? That’s like blaming the sun for having to get up in the morning,YouTube,social_comment
What about kids who have bad attention span but intelligent.  I think only teachers know to identify such kids.  AI is algorithmic. Not on continuous results... I pity these kids,YouTube,social_comment
ORWELL 1984 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,YouTube,social_comment
Government controlling kids incl their minds!!! No such thing as unstructured free play...not good & robbing them of their short childhood years.,YouTube,social_comment
It looks like the dispositive from an old French movie La planète sauvage,YouTube,social_comment
Turning these kids into robots. I’d be in trouble for daydreaming.,YouTube,social_comment
اوووه,YouTube,social_comment
"I’m not sure what percentage of schools are trying this experiment on their vulnerable young…”some schools” it says but they have spent billions of dollars.
There are many types of intelligence- this only rewards conformity and a narrow type of rational thought.  This tech makes it easy for teachers and parents - let’s put the EEG devices on them first or at least at the same time.
This will no doubt get “excellent” results for a while before it is realized or remembered, that true progress is often made through sudden sparks and brilliance. If you study the lives of great scientists and artists they usually had free or somewhat free childhoods involving lots of play and dreaming time. Maybe I’m just culturally blinkered but those are my observations",YouTube,social_comment
I just want to know how are the children today in 2026! 😢 We now hear about the protection in AI development. But someone already used it for more control. I can't imagine the lies of techlogy continuously affecting human beings and belongings!,YouTube,social_comment
So pitiful,YouTube,social_comment
You cant have any pudding if you dont you eat your meat.,YouTube,social_comment
1984,YouTube,social_comment
"Kids will stress out, they need a break. Its using AI to extract more output. Very dangerous,  kids are humans and humans have limitations.  AI should assist humans not force them.....",YouTube,social_comment
Control and surveillance,YouTube,social_comment
so what happened in the end?,YouTube,social_comment
This is next technology,YouTube,social_comment
😮,YouTube,social_comment
I hope they don't put these on teachers during our staff meetings!,YouTube,social_comment
It can discipline them otherwise I feel symphaty for them,YouTube,social_comment
"it's all seen at the movie, but it become a true life now in China which had the largest population in the world.",YouTube,social_comment
Imagine being neurodivergent 😰,YouTube,social_comment
