source,text,sentiment,confidence
youtube_comment,Price,neutral,0.8331
youtube_comment,"They touch every steps, once a day they challenge every hit brands in the world",neutral,0.9161
youtube_comment,"Успіхів.Дозволена всесвітня торгівля,окрім США",neutral,0.79
youtube_comment,Jesus. Maybe focus more on the island and the dancers. Nobody clicked this video to see a phone,neutral,0.9282
youtube_comment,Wow,neutral,0.8763
youtube_comment,Celular top de lindo ❤,neutral,0.8878
youtube_comment,نهاية التجسس ايفون و سامسونغ,neutral,0.8852
youtube_comment,Amazing 🎉,neutral,0.8777
youtube_comment,Those creases need a facelift,neutral,0.8689
youtube_comment,Sholawatin aja dulu bos...😊😊❤❤❤,neutral,0.9353
youtube_comment,"I hate this music though,😅😂",negative,0.5556
youtube_comment,Best phone. Just needs a snap dragon and nft,neutral,0.9233
youtube_comment,Does it have a stylus attached on?,neutral,0.9371
youtube_comment,Programmed obsolescence,neutral,0.8939
youtube_comment,"China very rarely invents.. they ""inspired"" by other and tweak 1 part to claim its theirs 😂",neutral,0.9172
youtube_comment,"For me, the iPhone is the only choice. Simple and reliable features. That’s all I need.",neutral,0.8666
youtube_comment,Don't bye Huawei. Never,neutral,0.8977
youtube_comment,"Even a cheap, knock-off phones works fine for years than that ""Premium"" trash",neutral,0.879
youtube_comment,iPhoneってホント壊れないよね...,neutral,0.8901
youtube_comment,Apple phones are status symbols after years of innovation.,neutral,0.7587
youtube_comment,"I once actually saw a salesgirl throw a customer's Huawei phone he'd brought in for repair out of the shop when the battery started fizzing and the phone popped. To me, that pretty much summed up everything about the so-called ""best of Chinese technology"".",neutral,0.8632
youtube_comment,Looks like Huawei is the toilet room of Apple! LOL,neutral,0.9303
youtube_comment,"watching this on my huawei matebook x pro which i bought from berlin. it's the best machine i've used ro date. sure, the store was not as packed as the apple store but this guy has no idea what hes ralking about..",neutral,0.8883
youtube_comment,"Who will buy communist phone lol, Huawei is a spywere !",neutral,0.8185
youtube_comment,"As a matter of fact. Who want a phone, that spies on you as costumer?",neutral,0.908
youtube_comment,nobody wants google services hehe,neutral,0.9319
youtube_comment,"Every Chinese company by default must spy on western world.
How stupid are you to use anything by CCP 🤡🤡🤡🫵",neutral,0.6529
youtube_comment,"What should you expect from a communist cellular phone manufacturer? Well Huawei, stolen tech that doesn't even work properly and spies on you for the government, all sold to you at a top tier price.",neutral,0.898
youtube_comment,Not sure how much true but if true news a great leap towards mankind,neutral,0.7112
youtube_comment,"Chinese spy phone vs Apple phone. Obviously, an Apple phone is a far superior product.",positive,0.8275
youtube_comment,I used oppo 2024 . Only 1 year the battery cant work.,neutral,0.8822
youtube_comment,"No, it is not true. All Huawey app stores offer the same apps from Google Play Store. Our apps can be accessed on all Huawei app stores ad free. Huawei takes the backdoor to Google Play apps and Google knows that.",neutral,0.9394
youtube_comment,"This is way more products on display compared to Singapore and Thailand. What failed is that they tried to create a 'hype' and 'trend' to entice foreigners to take personal loans, IFPs and BNPL in their own country to buy gadgets with money they don't have, this proves to be very successful with other brands but not China brands. China made devices that are mostly dead weight in their own country, sales figures are inflated so fans will say 'China lives in 2050!' but the facts on the ground is China IS STILL RECOVERING from COVID-19 and are now STILL pushing gadgets and cars to foreigners.",neutral,0.7231
youtube_comment,Tecnologia🔥😭,neutral,0.9052
youtube_comment,PpppppppppppppppppppppPpppppppppppppppppppppPpppppppppppppppppppppPpppppppppppppppppppppPppppppppppppppppppppp,neutral,0.9052
youtube_comment,ع٣ع٦٣ععقثعقعقعغ٣٦٣غضفثغث٢غغ٣ثغ😊,neutral,0.9052
youtube_comment,Срочно ссылку на трек😅!!!!,neutral,0.7753
youtube_comment,Huwai phone 3 lacks 😅,neutral,0.9145
youtube_comment,Prices,neutral,0.8627
youtube_comment,HUAWEI you want to you are you 😊😊😊😊😊😊😊,neutral,0.9276
youtube_comment,Huawei,neutral,0.9154
youtube_comment,Ohh thats very strong modification with AI,positive,0.6688
youtube_comment,Donde puedo conseguir la funda??,neutral,0.8525
youtube_comment,Wow is sow cool😂 😮,neutral,0.8732
youtube_comment,تكنولوجيا؟ Samsung 20Ultra phone,neutral,0.9298
youtube_comment,I want to by hawei phone,neutral,0.9326
youtube_comment,"@DariuszTech Hi Darius, that black casing, is it also included from the box?",neutral,0.9317
youtube_comment,يازينك يا طبرجل 😂,neutral,0.8755
youtube_comment,Ini hp powerfull banget dari segi apapun berani head to head lawan apple 17 pro dari segi apapun rendering game ataupun kamera,neutral,0.898
youtube_comment,TEEKONOLOGIAAA AMAZINGG,neutral,0.9293
youtube_comment,السلام,neutral,0.8796
youtube_comment,good，华为,neutral,0.8479
youtube_comment,Samsung galaxy 26 best 😂❤,neutral,0.8935
youtube_comment,Huawei phone,neutral,0.9344
youtube_comment,"No play store, it's worst without it and useless",neutral,0.5896
youtube_comment,Koliko košta ovaj 2u1???😮,neutral,0.875
youtube_comment,emang dapet dua hp itu ??😮,neutral,0.9071
youtube_comment,Quản cáo nó zậy đó 😊😊,neutral,0.9013
youtube_comment,Two phones in one ?,neutral,0.9283
youtube_comment,Wtf? They really give you another free phone?,neutral,0.9177
youtube_comment,wauoooooooooooo,neutral,0.856
youtube_comment,"My best mini phone.
Good 👍",neutral,0.6266
youtube_comment,"Очень хорошо
ОМ💖🙏🌍🔯🕉️🔯🌎🙏💖ОМ",neutral,0.851
youtube_comment,It's only Huawei can produce 3 folds,neutral,0.922
youtube_comment,Завидуйте молча. Мне бы какой то из них...,neutral,0.8758
youtube_comment,😅,neutral,0.9052
youtube_comment,Yo quierooo unoooooo,neutral,0.8518
youtube_comment,Forza Forza Samsung,neutral,0.9113
youtube_comment,Опять подобие расладушек,neutral,0.863
youtube_comment,大陆版手机再便宜也不要买，贵更不能买。因为你付钱了它也不属于你。,neutral,0.8707
youtube_comment,"J'en veux un 
Cela se vend à combien ❤❤❤❤❤❤",neutral,0.8603
youtube_comment,Green line ka baap😂,neutral,0.9301
youtube_comment,How come Huawei has google services 😮,neutral,0.9359
youtube_comment,MOST COMFORTABLE TO WAY TO CORN VIDEOS NOW 😊,neutral,0.8452
youtube_comment,"It's tech until you turn it on and realize it has no eSIM, 5G, google apps, apps freeze  and will break from the very first drop, don't hype something that is missing the most basic things about a phone, and god for the price it is, an actual scam!!! You're just buying a pretty foldable phone with so many disappointments 💔 so sad I have paid so mucb mony for THAT!!!",neutral,0.5883
youtube_comment,""" This has been devloped by the excellence at Galgotia university""",neutral,0.7706
youtube_comment,😡😡😡😡🤣🤣🤣😬🤬😈💩🤡👺🤖👽🎃😼🕳️🦷👃👂🤳,neutral,0.9052
youtube_comment,I mean screen this way make more sense than  z-fold or in other folding phone where one screen become useless after you unfold the phone,neutral,0.937
youtube_comment,It is better than Samsung trifold as a usability,positive,0.7662
youtube_comment,Samsung trifold has 2 displays but not fun huawei did a better job,positive,0.8538
youtube_comment,Show it to tim cook,neutral,0.9327
youtube_comment,One wrong fold game over 🎮❌,neutral,0.5589
youtube_comment,I have one of my friend's codes for 4/5 hours to convert harmony OS to Android,neutral,0.9345
youtube_comment,Bhot paisa hai ambai mere londe pe - guruji,neutral,0.9062
youtube_comment,That's responsiveness not optimization,neutral,0.9092
youtube_comment,The transition is happening because of devloper of instagram not hwavai,neutral,0.9514
youtube_comment,Bring back huawei to India,neutral,0.8689
youtube_comment,Apna baap ko dika raha hai insta pe. Godi 😂,neutral,0.8827
youtube_comment,It's all buttery good untill 1st security update knocks door😂😂,neutral,0.8925
youtube_comment,I thought he said shit of glass,neutral,0.7947
youtube_comment,Tony stark type shi..,neutral,0.9126
youtube_comment,It's the watch😂,neutral,0.909
youtube_comment,I can now prank my bro,neutral,0.8345
youtube_comment,"Huawei's current Chinese version has been separated from the Android underlying architecture, which means that Android applications can no longer be downloaded. At most, Huawei's built-in Android compatibility layer can be downloaded.",neutral,0.9039
youtube_comment,F***k i phone... I love huawei ❤❤❤🎉,neutral,0.8793
youtube_comment,Não vi esse recurso de marcas americanas,neutral,0.9127
youtube_comment,ভুয়া😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,neutral,0.9052
youtube_comment,🫵👑,neutral,0.9052
youtube_comment,King,neutral,0.9032
youtube_comment,Huawei make the best Eco system for their creations. The best!!! Hat off to Huawei!!!,neutral,0.805
youtube_comment,Muito bom esse recurso.A Huawei é uma marca chinesa.Temos que valorizar marcas de países pacíficos.Para diminuir as guerras no mundo.Marcas chinesas necessitam dominar.,neutral,0.6422
youtube_comment,Is this real,neutral,0.9087
youtube_comment,中国魔法，神奇吧❤,neutral,0.922
youtube_comment,This is false no way mapp38.e8 cannot do this not that advanced im not sure,neutral,0.7627
youtube_comment,😮😮😮😮😮,neutral,0.9052
youtube_comment,Where is Apple 😂😂😂😂,neutral,0.8335
youtube_comment,if you hav a Huawei phone you can spread this stuff all over the store 😂,neutral,0.9379
youtube_comment,"Omg..  Is this real.. My granny would say, ancient people would do things from their hand with out actually doing anything.. Did she mean this?? 
Are Chinese the ancient propley? Or the ancient technology has been materialized after centuries or millennia??",neutral,0.9256
youtube_comment,Really? 😍,neutral,0.8669
youtube_comment,Is this really true?,neutral,0.8825
youtube_comment,Kak di Indonesia tablet kayak gitu udah ada apa belum?,neutral,0.9102
youtube_comment,"1. How are you even going to open that when the case is even connected 
2. If you open it it will fall directly out 
3. That is expensive",neutral,0.5729
youtube_comment,Samsung trifold,neutral,0.915
youtube_comment,Go to phill and sm get yours now!,neutral,0.9316
youtube_comment,"Be careful all guys too good to be true, but once you purchase it is really a scammer advertisement.. because I’m the one of the victim until now I cannot give track that I make a payment. I did go to the bank My account information was been deduction, but too bad. The company also disappeared from the apps that I go through, but I did have a screenshot all transactions step-by-step any advice from you guys what must I do?",neutral,0.7873
youtube_comment,Ok,neutral,0.898
youtube_comment,I thought there is only two colours red and black,neutral,0.9211
youtube_comment,HarmonyOs boot up screen looks like HyperOs,neutral,0.9389
youtube_comment,Wowww,neutral,0.8145
youtube_comment,I bet you wouldn't dare give it to me😸,neutral,0.9311
youtube_comment,Boommm 🌟,neutral,0.8758
youtube_comment,Bro this phone is demmy one😂😂😂😂😂,neutral,0.9323
youtube_comment,😢😢😢😢😢❤❤❤❤ I don't have a foldable phone. I have an Android,neutral,0.9332
youtube_comment,某个国家不让自由贸易呢😂😂，手机汽车,neutral,0.8835
youtube_comment,Actually innovation,neutral,0.7485
youtube_comment,I dare u to give away one of these,neutral,0.8864
youtube_comment,I need a phone  for free please,neutral,0.9272
youtube_comment,The price💀☠️,neutral,0.8766
youtube_comment,Infographic looking ahh,neutral,0.9371
youtube_comment,😡🤬🙅,neutral,0.9052
youtube_comment,Zeiss the best,neutral,0.8822
youtube_comment,Vivo est le King,neutral,0.8901
youtube_comment,comparing pro to an ultra,neutral,0.6236
youtube_comment,Parang galaxy s25,neutral,0.9064
youtube_comment,Vivo❤🎉,neutral,0.9052
youtube_comment,Huawei is like the tik tok chinese girls using filter to show the dead ahh curves,neutral,0.9149
youtube_comment,Huawei pura 90 pro max 🔥🔥 💪👑,neutral,0.9101
youtube_comment,No comparison.  Huawei win.,neutral,0.7319
youtube_comment,Vivo just ai bro😂,neutral,0.882
youtube_comment,VIVO,neutral,0.8719
youtube_comment,Pura 80 ultra capture even stains and poops😮 wow very nice,neutral,0.754
youtube_comment,"I hate Vivo design, but their camera is no joke 😭😭",neutral,0.6966
youtube_comment,Vivo 🎉,neutral,0.9093
youtube_comment,Huawei wons🗿👍,neutral,0.9329
youtube_comment,Use kingsammelots remix of 21 savage,neutral,0.9391
youtube_comment,Why does Huawei 80 saturate too much?,neutral,0.7305
youtube_comment,Baground is vivo best,neutral,0.8892
youtube_comment,vivo excels in zoom.,neutral,0.6031
youtube_comment,"There's so much noise, sounds editing and pop-ups in this video.. Downvote. How has this become a trend",neutral,0.7389
youtube_comment,"Apple launched the iPhone 16 series this week…
Within a few hours Huawei launched this Huawei Mate XT tri-fold phone
Messaging was clear 😉
I love the iPhones for many reasons
I love the Huawei phones also - I still use my Huawei p30 even till date
Good to see the boundary pushed!
Some products make the other products look primitive - that’s true innovation!
Just a share! 
Have a super day!",neutral,0.6668
youtube_comment,Huawei mate xt ultimate design,neutral,0.9223
youtube_comment,Innovation:triple fold,neutral,0.8222
youtube_comment,How they can make a tri-fold but not a tablet?,neutral,0.9318
youtube_comment,"Aw man! I wanted a phone like that, it's ny Dream Phone!",neutral,0.9108
youtube_comment,America fears  that China can spy on them😂.Joke,neutral,0.5694
youtube_comment,I want to buy this only 50k less,neutral,0.9202
youtube_comment,How much? They're banned in America? Wtf?,neutral,0.7633
youtube_comment,My name is Ellie from Saudi Arabia and Jenna please keep me up price again so much,neutral,0.815
youtube_comment,Ufffff❤,neutral,0.9052
youtube_comment,"Foldable phones work using a combination of a flexible OLED screen (made with thin plastic or glass layers) and a complex, durable hinge mechanism, allowing them to bend smoothly while maintaining display integrity. This design transforms a compact phone into a larger tablet-like screen, featuring protective layers and internal components like transistors and pixels that bend with the display",neutral,0.8966
youtube_comment,But the price is next level 5000 dollar for a single phone this is too high price,neutral,0.7032
youtube_comment,Me encanta ❤,neutral,0.8896
youtube_comment,The price tag though.. $5k in Australia,neutral,0.705
youtube_comment,I hate the nails on the box sound,negative,0.7292
youtube_comment,1,neutral,0.8897
youtube_comment,La Mano Se Empuja,neutral,0.8348
youtube_comment,My dad a long diehard Apple user got this as his primary. That speaks volume,neutral,0.9245
youtube_comment,Wtfisman,neutral,0.9276
